event1,event2,event3,event4,event5,event6,athome,person
14,15,1,14,20,11,1,3
15,1,14,20,11,8,1,3
1,14,20,11,8,10,1,3
14,20,11,8,10,1,1,2
20,11,8,10,1,14,1,2
11,8,10,1,14,9,1,3
8,10,1,14,9,11,1,3
10,1,14,9,11,1,1,2
1,14,9,11,1,6,1,2
14,9,11,1,6,9,1,3
9,11,1,6,9,9,1,2
11,1,6,9,9,11,1,3
1,6,9,9,11,12,1,3
6,9,9,11,12,15,1,2
9,9,11,12,15,6,1,3
9,11,12,15,6,9,1,3
11,12,15,6,9,11,1,3
12,15,6,9,11,16,1,2
15,6,9,11,16,19,1,2
6,9,11,16,19,12,1,3
9,11,16,19,12,5,1,3
11,16,19,12,5,7,1,3
16,19,12,5,7,4,1,3
19,12,5,7,4,16,1,2
12,5,7,4,16,19,1,2
5,7,4,16,19,3,1,3
7,4,16,19,3,4,1,3
4,16,19,3,4,16,1,2
16,19,3,4,16,19,1,2
19,3,4,16,19,3,1,3
3,4,16,19,3,5,1,3
4,16,19,3,5,7,1,3
16,19,3,5,7,4,1,3
19,3,5,7,4,16,1,2
3,5,7,4,16,19,1,2
5,7,4,16,19,3,1,3
7,4,16,19,3,4,1,3
4,16,19,3,4,16,1,2
16,19,3,4,16,19,1,2
19,3,4,16,19,3,1,3
3,4,16,19,3,6,1,3
4,16,19,3,6,16,1,2
16,19,3,6,16,19,1,2
19,3,6,16,19,8,1,3
3,6,16,19,8,10,1,3
6,16,19,8,10,8,1,3
16,19,8,10,8,10,1,3
19,8,10,8,10,20,1,2
8,10,8,10,20,9,1,3
10,8,10,20,9,15,1,2
8,10,20,9,15,15,1,3
10,20,9,15,15,20,1,2
20,9,15,15,20,16,1,3
9,15,15,20,16,19,1,3
15,15,20,16,19,15,1,2
15,20,16,19,15,16,1,3
20,16,19,15,16,17,1,3
16,19,15,16,17,16,1,2
19,15,16,17,16,21,3,3
15,16,17,16,21,19,3,2
16,17,16,21,19,20,3,2
17,16,21,19,20,15,3,2
16,21,19,20,15,16,3,2
21,19,20,15,16,17,3,2
19,20,15,16,17,18,3,2
20,15,16,17,18,19,3,2
15,16,17,18,19,16,3,2
16,17,18,19,16,19,3,2
17,18,19,16,19,16,3,2
18,19,16,19,16,19,3,2
19,16,19,16,19,16,3,2
16,19,16,19,16,17,3,2
19,16,19,16,17,18,3,2
16,19,16,17,18,19,3,2
19,16,17,18,19,20,3,2
16,17,18,19,20,11,3,2
17,18,19,20,11,8,3,2
18,19,20,11,8,10,3,2
19,20,11,8,10,9,3,2
20,11,8,10,9,15,3,2
11,8,10,9,15,16,3,2
8,10,9,15,16,17,3,2
10,9,15,16,17,22,1,3
9,15,16,17,22,18,1,3
15,16,17,22,18,21,5,2
16,17,22,18,21,17,5,3
17,22,18,21,17,18,5,3
22,18,21,17,18,17,5,3
18,21,17,18,17,21,8,3
21,17,18,17,21,22,3,2
17,18,17,21,22,21,8,2
18,17,21,22,21,22,5,3
17,21,22,21,22,18,5,3
21,22,21,22,18,19,5,3
22,21,22,18,19,20,5,3
21,22,18,19,20,15,5,3
22,18,19,20,15,16,5,3
18,19,20,15,16,17,5,3
19,20,15,16,17,18,5,3
20,15,16,17,18,19,5,3
15,16,17,18,19,20,5,3
16,17,18,19,20,15,5,3
17,18,19,20,15,20,5,3
18,19,20,15,20,11,5,3
19,20,15,20,11,12,5,3
20,15,20,11,12,14,5,3
15,20,11,12,14,1,5,3
20,11,12,14,1,5,5,3
11,12,14,1,5,7,5,3
12,14,1,5,7,5,5,3
14,1,5,7,5,7,5,3
1,5,7,5,7,4,5,3
5,7,5,7,4,3,5,3
7,5,7,4,3,5,5,3
5,7,4,3,5,7,5,3
7,4,3,5,7,4,5,3
4,3,5,7,4,22,1,2
3,5,7,4,22,21,5,2
5,7,4,22,21,3,5,3
7,4,22,21,3,13,5,3
4,22,21,3,13,2,5,3
22,21,3,13,2,14,5,3
21,3,13,2,14,1,5,3
3,13,2,14,1,4,5,3
13,2,14,1,4,3,5,3
2,14,1,4,3,6,5,3
14,1,4,3,6,8,5,3
1,4,3,6,8,10,5,3
4,3,6,8,10,8,5,3
3,6,8,10,8,10,5,3
6,8,10,8,10,12,5,3
8,10,8,10,12,5,5,3
10,8,10,12,5,7,5,3
8,10,12,5,7,5,5,3
10,12,5,7,5,7,5,3
12,5,7,5,7,4,5,3
5,7,5,7,4,3,5,3
7,5,7,4,3,6,5,3
5,7,4,3,6,8,5,3
7,4,3,6,8,10,5,3
4,3,6,8,10,8,5,3
3,6,8,10,8,10,5,3
6,8,10,8,10,12,5,3
8,10,8,10,12,14,5,3
10,8,10,12,14,1,5,3
8,10,12,14,1,4,5,3
10,12,14,1,4,22,1,2
12,14,1,4,22,18,1,2
14,1,4,22,18,19,1,2
1,4,22,18,19,3,1,3
4,22,18,19,3,4,1,3
22,18,19,3,4,20,1,2
18,19,3,4,20,15,1,2
19,3,4,20,15,3,1,3
3,4,20,15,3,4,1,3
4,20,15,3,4,20,1,2
20,15,3,4,20,3,1,3
15,3,4,20,3,11,1,2
3,4,20,3,11,4,1,3
4,20,3,11,4,12,1,2
20,3,11,4,12,6,1,2
3,11,4,12,6,12,1,2
11,4,12,6,12,6,1,2
4,12,6,12,6,3,1,3
12,6,12,6,3,13,1,3
6,12,6,3,13,9,1,2
12,6,3,13,9,11,1,2
6,3,13,9,11,2,1,3
3,13,9,11,2,13,1,3
13,9,11,2,13,12,1,2
9,11,2,13,12,6,1,2
11,2,13,12,6,9,1,2
2,13,12,6,9,15,1,2
13,12,6,9,15,2,1,3
12,6,9,15,2,5,1,3
6,9,15,2,5,7,1,3
9,15,2,5,7,4,1,3
15,2,5,7,4,20,1,2
2,5,7,4,20,11,1,2
5,7,4,20,11,3,1,3
7,4,20,11,3,6,1,3
4,20,11,3,6,9,1,2
20,11,3,6,9,12,1,3
11,3,6,9,12,6,1,3
3,6,9,12,6,15,1,2
6,9,12,6,15,8,1,3
9,12,6,15,8,10,1,3
12,6,15,8,10,9,1,3
6,15,8,10,9,16,1,2
15,8,10,9,16,19,1,2
8,10,9,16,19,15,1,3
10,9,16,19,15,20,1,2
9,16,19,15,20,16,1,3
16,19,15,20,16,17,1,3
19,15,20,16,17,18,1,3
15,20,16,17,18,19,1,3
20,16,17,18,19,11,1,2
16,17,18,19,11,8,1,2
17,18,19,11,8,10,1,2
18,19,11,8,10,9,1,2
19,11,8,10,9,16,1,3
11,8,10,9,16,19,1,3
8,10,9,16,19,15,1,2
10,9,16,19,15,16,1,3
9,16,19,15,16,19,1,3
