time,event
1,0
4,1
4,2
4,2
6,3
7,0
7,0
8,0
8,0
15,0
24,0
24,3
27,1
27,0
30,0
30,0
33,4
33,4
33,1
33,0
33,3
41,1
41,3
41,0
42,4
42,4
44,3
44,0
45,1
45,1
45,1
45,1
45,1
45,1
56,3
57,0
59,1
61,3
65,3
65,0
65,0
68,3
74,1
74,1
77,1
83,1
86,5
86,5
89,1
89,1
92,5
95,5
96,5
97,1
98,5
100,1
100,1
100,1
104,5
119,5
122,1
123,1
126,5
128,1
128,1
128,3
131,0
131,4
134,0
134,1
134,0
134,3
134,1
137,0
137,0
140,4
143,4
143,4
143,0
143,0
152,4
179,4
179,4
224,4
224,4
228,6
230,4
231,6
237,6
240,6
243,6
288,6
294,6
299,4
302,4
315,6
317,4
317,4
318,6
323,4
326,4
326,4
328,4
342,4
343,6
346,6
348,4
348,4
354,4
355,6
358,6
361,4
363,4
363,4
372,4
372,7
373,4
375,0
375,7
375,0
375,3
376,4
379,8
379,0
379,3
379,2
379,2
381,8
383,2
383,3
384,0
387,4
387,0
387,3
388,6
390,4
391,6
394,6
399,4
403,6
405,4
413,4
414,4
414,4
417,4
420,4
420,4
434,4
434,4
447,4
447,4
450,8
450,0
450,4
450,0
450,3
451,2
453,2
453,3
453,2
453,9
456,8
459,9
459,10
459,9
459,10
459,9
459,10
459,9
459,10
463,2
463,8
463,9
463,2
466,10
480,2
485,2
489,2
495,2
501,2
510,2
535,2
537,2
537,2
543,2
546,2
552,2
558,2
564,2
567,2
567,2
664,2
666,2
739,2
742,2
748,10
751,10
926,2
926,2
929,2
1241,2
1244,2
1477,10
1477,10
1480,9
1480,8
1480,2
1480,2
1480,10
1484,0
1484,8
1484,4
1484,3
1484,2
1484,2
1484,9
1488,4
1488,3
1493,0
1502,4
1507,4
1510,4
1510,4
1517,0
1517,4
1517,0
1517,3
1523,3
1526,4
1526,0
1532,4
1532,4
1532,4
1550,4
1552,4
1567,4
1567,4
1571,0
1573,2
1573,3
1573,2
1573,8
1573,8
1574,9
1577,0
1577,2
1577,3
1577,11
1577,4
1577,12
1577,13
1580,8
1580,14
1580,15
1580,12
1580,9
1580,11
1580,16
1584,13
1584,17
1584,16
1584,15
1584,14
1584,18
1587,19
1587,19
1587,20
1587,21
1587,20
1591,20
1591,22
1591,18
1591,21
1591,19
1591,19
1591,19
1591,23
1596,23
1606,20
1608,18
1608,21
1611,20
1611,22
1611,22
1611,17
1612,21
1614,18
1614,14
1615,15
1615,16
1615,17
1616,13
1617,14
1620,9
1620,13
1620,16
1620,11
1620,15
1620,11
1620,8
1620,12
1622,10
1622,10
1624,9
1624,8
1624,2
1624,12
1624,10
1810,10
1810,2
1810,9
1813,10
1813,9
1813,2
1813,2
1816,2
1816,2
1819,2
1856,2
1859,9
1859,8
1859,9
1859,9
1859,10
1859,10
1859,8
1863,0
1863,8
1863,3
1863,9
1863,2
1866,4
1866,4
1866,0
1866,3
1869,0
1869,4
1869,4
1869,0
1869,0
1874,0
1895,0
1895,0
1898,0
1898,0
1901,2
1901,3
1901,2
1901,8
1901,9
1901,9
1904,3
1904,0
1907,9
1907,8
1907,2
1910,10
1910,2
1910,2
1911,10
1917,2
1919,2
1919,2
1926,2
1931,2
1934,2
1934,2
1940,2
1940,2
1941,2
1943,2
1949,2
1952,2
1982,2
1982,2
1982,2
1988,2
2042,2
2049,2
2049,2
2051,2
2054,2
2078,2
2087,2
2126,2
2129,2
2167,2
2170,2
2170,2
2318,2
2321,9
2321,8
2321,8
2321,10
2324,9
2324,3
2324,10
2324,0
2325,2
2325,8
2328,3
2328,4
2328,4
2330,0
2330,7
2333,4
2336,4
2336,4
2339,4
2339,4
2339,4
2339,4
2340,6
2342,7
2343,6
2345,4
2345,4
2352,6
2355,6
2360,4
2366,4
2366,4
2375,0
2375,0
2375,0
2375,0
2375,0
2378,4
2378,4
2390,4
2390,4
2390,4
2390,4
2390,4
2396,4
2396,4
2396,4
2414,4
2414,4
2414,4
2426,4
2426,4
2426,4
2441,4
2441,4
2454,4
2455,4
2455,0
2455,0
2455,4
2457,0
2457,0
2467,0
2469,2
2469,3
2469,8
2472,0
2472,9
2472,3
2473,10
2473,10
2473,10
2473,10
2476,9
2476,9
2476,8
2476,9
2476,10
2476,10
2476,10
2476,8
2479,2
2490,2
2491,10
2491,10
2493,9
2493,2
2496,10
2496,9
2497,10
2497,10
2499,9
2499,2
2500,10
2503,9
2506,2
2634,2
2634,2
2637,2
2643,2
2643,2
2646,2
2661,2
2661,2
2667,2
2667,2
2670,2
2673,2
2685,2
2688,2
2706,2
2709,2
2917,2
2920,2
3013,2
3019,2
3084,2
3087,2
3213,2
3213,2
3213,9
3213,10
3216,9
3216,10
3216,9
3216,10
3216,9
3216,10
3216,9
3216,10
3217,2
3288,2
3288,2
3291,2
3291,2
3675,9
3675,2
3675,10
3678,2
3678,8
3680,24
3680,24
3681,24
3681,24
3681,9
3681,3
3681,9
3681,0
3681,9
3681,0
3681,1
3681,0
3681,10
3681,10
3681,10
3681,8
3683,3
3683,2
3683,1
3683,2
3686,3
3688,0
3688,0
3691,3
3694,3
3694,0
3697,3
3697,4
3697,4
3709,4
3709,4
3721,4
3727,0
3731,4
3749,0
3751,4
3760,3
3763,8
3763,2
3763,4
3764,0
3764,9
3764,0
3764,9
3764,0
3764,9
3767,9
3767,3
3767,9
3767,10
3767,9
3767,9
3767,10
3767,9
3767,10
3767,10
3767,10
3771,2
3771,2
3771,8
3771,2
3771,8
3774,9
3774,10
3777,9
3777,9
3777,9
3777,2
3780,10
3780,10
3782,2
3782,2
3782,2
3782,2
4011,2
4011,2
4014,2
4032,2
4038,2
4364,2
4369,2
4498,9
4498,10
4498,9
4643,2
