time,event
9675,4
9675,1
9690,1
9700,4
9725,4
9730,1
9735,11
9745,1
9765,4
9780,11
9785,1
9800,1
9805,4
9825,1
9840,1
9855,1
9870,1
9880,1
9895,1
9925,1
9925,4
9935,1
9950,1
9950,4
9955,4
9970,1
9980,4
9980,1
9990,1
10005,1
10005,4
10010,4
10025,1
10025,1
10035,4
10035,1
10040,4
10055,1
10060,4
10060,1
10080,1
10080,1
10080,1
10115,1
10135,1
10135,1
10135,1
10140,4
10165,4
10170,1
10185,1
10190,1
10190,1
10195,4
10215,1
10220,4
10225,1
10230,4
10240,1
10245,1
10250,4
10250,11
10255,4
10280,4
10295,1
10305,4
10310,11
10310,1
10345,4
10365,11
10365,1
10365,1
10420,1
10420,1
10425,4
10430,4
10445,1
10470,4
10475,1
10480,4
10490,1
10500,1
10505,4
10515,1
10520,4
10525,1
10540,1
10540,1
10545,1
10560,1
10595,1
10595,1
10615,1
10630,1
10650,1
10650,1
10685,1
10705,1
10705,1
10720,1
10740,1
10760,1
10775,1
10780,4
10795,1
10810,1
10815,1
10820,4
10865,1
10870,11
10910,11
10920,1
10925,11
10975,1
10980,4
10985,4
11000,1
11005,1
11055,1
11060,1
11110,1
11115,1
11130,1
11145,1
11160,1
11165,1
11175,1
11180,4
11180,1
11185,4
11210,4
11220,4
11230,1
11285,1
11295,11
11310,11
11320,11
11340,1
11350,11
11360,11
11385,11
11395,11
11395,1
11410,1
11415,11
11425,1
11440,11
11450,11
11480,1
11490,4
11495,1
11500,4
11520,11
11530,4
11550,1
11555,4
11575,1
11580,4
11610,4
11620,4
11630,1
11635,4
11645,4
11670,4
11675,4
11690,1
11700,4
11745,1
11750,4
11860,11
11910,11
11920,11
12280,11
12335,11
12375,11
12430,11
12435,11
12440,11
12445,11
12455,11
12470,11
12480,11
12490,11
12495,11
12540,11
12620,11
12665,11
12745,11
12800,11
12810,11
12845,11
12850,11
12865,11
12920,4
12940,1
12995,1
13005,11
13010,4
13035,4
13050,1
13060,4
13065,1
13080,1
13080,4
13085,4
13085,4
13105,4
13105,1
13110,4
13125,1
13135,4
13140,1
13155,1
13160,4
13160,1
13165,4
13185,4
13195,1
13205,4
13210,1
13230,4
13255,4
13265,1
13275,11
13280,1
13295,4
13295,1
13315,1
13330,11
13350,1
13370,1
13405,1
13425,1
13460,1
13475,11
13480,1
13485,11
13495,1
13500,4
13515,1
13540,4
13565,4
13570,1
13585,1
13625,1
13640,1
13680,1
13685,11
13695,11
13695,1
13695,1
13750,11
13750,1
13750,1
13755,4
13760,11
13765,1
13780,4
13820,1
13825,4
13865,4
13870,11
13880,11
13940,11
13975,4
13995,11
14000,11
14000,4
14020,1
14055,11
14065,11
14070,4
14075,1
14090,1
14090,1
14105,1
14120,11
14130,11
14145,1
14160,1
14200,1
14215,1
14215,1
14220,4
14230,1
14240,1
14245,1
14260,1
