time,event
7485,1
7490,6
7490,4
7490,1
7495,8
7510,6
7510,4
7530,1
7530,10
7545,1
7560,1
7580,11
7585,10
7585,1
7615,1
7625,12
7630,11
7630,1
7635,8
7635,6
7635,12
7640,7
7640,1
7655,10
7685,1
7695,1
7700,4
7705,6
7720,1
7725,4
7725,4
7740,1
7745,1
7750,4
7755,1
7760,4
7770,6
7785,4
7790,4
7800,1
7810,1
7810,4
7815,1
7820,4
7830,1
7835,4
7840,1
7845,8
7860,4
7865,1
7880,6
7895,1
7900,10
7920,1
7935,1
7950,6
7950,1
7950,1
7965,1
7970,4
7980,1
7990,1
7995,1
8005,1
8045,1
8050,4
8050,1
8060,1
8075,4
8095,6
8105,1
8115,1
8115,10
8120,8
8140,12
8145,11
8150,12
8155,11
8160,10
8160,1
8165,8
8165,6
8170,1
8175,8
8185,4
8205,6
8210,11
8215,1
8215,12
8220,11
8225,10
8225,1
8225,10
8230,8
8270,1
8275,11
8275,8
8275,11
8280,12
8280,10
8280,1
8285,8
8285,7
8325,1
8330,11
8335,12
8335,1
8340,11
8345,12
8350,11
8355,10
8380,1
8385,4
8390,1
8405,1
8405,6
8425,4
8445,1
8450,4
8450,4
8460,1
8465,4
8475,4
8475,4
8490,4
8495,6
8495,1
8510,6
8515,4
8530,4
8535,1
8540,8
8550,1
8555,4
8565,1
8570,8
8580,4
8590,1
8600,6
8620,4
8620,1
8640,1
8645,1
8650,8
8675,1
8690,1
8695,1
8700,1
8700,4
8720,6
8740,10
8745,1
8755,1
8760,8
8760,1
8765,8
8785,12
8790,6
8790,7
8810,1
8810,10
8815,1
8825,1
8830,4
8830,1
8835,4
8850,1
8855,1
8860,8
8860,11
8865,1
8865,12
8870,11
8870,4
8875,12
8880,11
8885,10
8890,1
8905,1
8910,4
8910,1
8915,8
8935,4
8935,6
8955,6
8955,10
8965,1
8975,10
8980,1
8985,8
9005,6
9025,6
9025,4
9035,1
9040,8
9045,4
9045,6
9065,6
9065,4
9085,10
9085,1
9090,8
9090,1
9105,1
9120,1
9135,6
9140,1
9155,4
9175,1
9175,1
9180,8
9180,8
9195,1
9200,4
9225,4
9230,1
9230,1
9235,4
9245,1
9250,4
9255,1
9260,1
9265,4
9270,6
9290,4
9290,10
9290,12
9295,7
9310,1
9315,4
9335,1
9340,11
9345,12
9350,11
9355,12
9360,7
9365,1
9380,1
9390,1
9405,1
9435,1
9440,8
9460,1
9490,1
9495,4
9515,1
9515,6
9520,4
9535,10
9545,4
9565,1
9570,8
9585,6
9605,10
9620,1
9655,11
9660,10
9675,1
9710,6
9730,4
9730,1
9745,1
9750,8
9750,6
9770,4
9790,6
9795,12
9800,7
9800,1
9810,4
9835,4
9855,6
9855,1
9860,12
9865,11
9870,12
9870,1
9875,4
9875,11
9875,4
9880,12
9885,11
9890,12
9895,7
9900,4
9900,4
9920,6
9920,6
9940,10
9940,4
9960,6
9980,10
9990,11
9995,12
10000,7
10030,11
10035,10
10085,11
10090,10
10140,6
10160,10
10210,6
10230,4
10250,6
