time,event
53110,1
53117,9
53133,10
53359,2
53395,9
53416,2
53644,9
53690,1
53780,2
53823,2
54019,8
54085,2
54087,1
54114,2
54221,2
54228,10
54370,1
54376,10
54412,9
54453,10
54464,9
54477,1
54480,1
54514,8
54515,2
54516,1
54528,10
54530,10
54533,9
54536,1
54536,8
54539,2
54552,2
54588,1
54622,10
54631,10
54720,2
54731,8
54741,9
54797,2
54819,8
54961,9
55234,10
55241,9
55260,1
55264,2
55291,8
55302,9
55304,1
55309,2
55318,2
55332,8
55362,9
55366,9
55367,2
55369,9
55388,10
55410,8
55537,8
55539,8
55632,2
55638,9
55647,8
55766,9
55816,10
55819,8
55837,10
55918,2
55951,9
56057,2
56059,2
56061,1
56074,10
56090,9
56114,9
56148,10
56150,10
56155,10
56189,2
56199,2
56226,8
56230,9
56263,9
56306,1
56384,2
56385,2
56388,1
56393,10
56395,10
56424,10
56448,2
56482,10
56588,10
56604,9
56673,9
56782,8
56852,8
56993,9
57021,8
57023,8
57026,8
57040,10
57041,10
57086,9
57113,2
57120,1
57122,1
57148,9
57168,9
57243,10
57254,2
57260,2
57327,10
57340,9
57361,10
57435,1
57442,2
57452,9
57457,9
57513,1
57543,8
57568,10
57579,8
57669,2
57674,1
57695,9
57697,9
57874,9
57879,9
57947,8
57950,2
57967,1
57972,1
57999,8
58000,2
58005,8
58007,8
58119,2
58136,2
58138,2
58186,1
58220,10
58246,9
58247,10
58262,9
58453,8
58596,8
58648,2
58664,8
58667,8
58668,8
58688,2
58689,1
58701,8
58817,1
58820,2
58855,9
58918,2
58922,2
58986,2
59022,9
59044,8
59066,9
59068,9
59086,2
59102,9
59135,2
59168,8
59179,9
59188,10
59190,10
59192,10
59246,1
59307,8
59328,8
59365,2
59369,2
59371,1
59404,2
59408,1
59490,2
59512,10
59538,2
59574,1
59619,9
59799,1
59802,2
59811,9
59813,9
59817,9
59841,2
59995,8
60009,8
60050,9
60058,2
60064,10
60192,2
60259,1
60273,9
60278,9
60343,2
60494,8
60517,10
60562,8
60647,8
60715,9
60739,10
60740,10
60764,1
60836,2
60884,1
60886,1
60887,2
60888,1
60888,2
60889,2
60891,2
60893,2
60939,1
60940,1
60942,2
60951,8
60955,8
60965,10
60966,9
61021,2
61108,2
61135,10
61144,10
61211,1
61234,9
61249,8
61361,1
61381,9
61387,2
61408,10
61448,2
61454,9
61493,2
61499,2
61519,9
61566,2
61567,1
61589,8
61628,2
61649,8
61657,8
61672,9
61752,9
61835,8
61860,9
61900,9
61965,10
61970,2
61986,2
62012,9
62041,2
62045,1
62086,2
62102,8
62106,1
62107,2
62108,1
62109,1
62111,10
62112,8
62117,8
62150,10
62183,8
62239,10
62264,10
62266,10
62300,2
62333,2
62334,1
62348,9
62350,9
62370,2
62377,2
62510,9
62537,1
62543,8
62553,9
62579,1
62587,9
62612,2
62622,1
62662,1
62674,1
62676,1
62681,2
62691,9
62695,10
62731,9
62862,8
62921,9
63125,8
63127,8
63136,8
63197,8
63226,9
63242,2
63297,2
63426,9
63502,10
63507,10
63553,2
63556,1
63571,2
63575,8
63673,9
63725,2
63785,9
63787,8
63794,8
63833,9
63905,8
63917,10
63965,8
64026,2
64052,2
64171,1
64174,9
64179,9
64309,2
64315,8
64365,9
64421,8
64427,10
64499,10
64605,9
64665,9
64727,9
64798,8
64869,2
64896,9
64944,8
64961,9
65031,9
65111,1
65113,8
65115,8
65163,10
65198,2
65213,9
65289,10
65311,8
65340,10
65346,10
65358,9
65361,8
65363,8
65374,9
65437,2
65561,9
65582,2
65650,2
65693,10
65693,2
65696,1
65743,8
65763,9
65816,9
65864,8
65872,2
65959,8
65974,8
66014,9
66127,2
66168,9
66220,9
66223,8
66237,10
66244,2
66267,10
66312,2
66323,9
66391,8
66394,8
66398,9
66442,8
66551,2
66622,2
66653,8
66696,2
66732,1
66738,9
66756,2
66781,8
66813,8
66867,8
66925,10
66927,10
66939,2
66945,8
66986,9
66995,2
67124,2
67182,8
67235,8
67269,1
67270,2
67272,2
67325,10
67327,10
67345,8
67402,9
67434,2
67437,1
67447,2
67478,2
67602,10
67605,10
67633,8
67635,8
67649,9
67674,2
67705,9
67709,1
67716,2
67727,9
67730,9
67755,8
67797,9
67820,9
67867,10
67875,9
68117,1
68125,2
68184,8
68223,8
68230,8
68262,8
68267,10
68286,8
68293,10
68293,2
68321,8
68408,10
68525,2
68615,1
68616,1
68627,2
68630,9
68645,9
68785,9
68786,10
68874,8
68907,10
68911,10
68929,8
68997,2
69018,8
69020,8
69070,9
69074,1
69077,2
69104,9
69170,9
69175,8
69185,10
69245,1
69266,9
69300,2
69305,2
69344,2
69486,10
69622,8
69698,9
69733,9
69828,2
69834,1
69834,9
69841,10
69857,8
69882,10
69884,10
69957,9
70012,2
70014,1
70021,9
70036,2
70055,8
70123,2
70194,2
70202,9
70208,8
70251,10
70259,1
70261,2
70263,1
70265,1
70342,1
70413,10
70462,2
70464,1
70483,8
70504,9
70621,8
70711,10
70734,8
70795,8
70817,2
70820,9
70823,2
70834,9
70847,2
70850,2
70851,1
70867,2
70885,9
70888,2
70922,8
70961,2
70963,9
71055,2
71148,8
71167,9
71214,8
71225,9
71249,2
71252,2
71302,9
71323,9
71324,2
71335,2
71342,8
71351,2
71405,2
71439,8
71460,8
71477,10
71519,10
71537,2
71575,8
71584,2
71598,9
71602,8
71633,8
71658,8
71664,1
71703,8
71705,9
71816,10
71833,9
71858,8
71960,1
71965,2
71984,2
71993,2
71994,10
72010,10
72053,2
72090,10
72116,1
72119,9
72141,8
72177,2
72179,8
72223,8
72225,10
72256,9
72277,9
72292,10
72317,8
72347,1
72349,1
72377,9
72473,2
72474,1
72475,2
72476,1
72477,2
72478,2
72484,10
72504,9
72616,8
72636,10
72656,2
72661,10
72669,10
72673,10
72746,9
72829,2
72884,9
72890,9
72891,8
72916,2
72927,2
72991,1
72994,2
73047,8
73062,10
73084,10
73093,2
73175,10
73176,10
73203,9
73207,8
73225,2
73238,9
73304,10
73322,9
73350,8
73358,9
73380,8
73383,2
73384,1
73385,2
73387,1
73391,9
73395,9
73421,2
73424,2
73437,10
73494,2
73560,2
73565,9
73572,9
73579,2
73608,2
73610,2
73647,9
73656,10
73656,2
73676,2
73721,1
73754,8
73788,1
73795,2
73796,2
73800,1
73803,9
73806,1
73816,10
73828,2
73926,10
73932,8
73933,8
73956,9
74008,8
74043,8
74062,8
74090,1
74091,2
74114,1
74117,2
74117,2
74122,2
74135,2
74144,10
74145,9
74158,8
74206,9
74270,10
74284,9
74317,8
74322,10
74379,8
74415,9
74513,10
74609,9
74630,9
74638,2
74660,1
74662,1
74669,8
74681,2
74746,1
74815,8
74867,9
74912,2
74913,1
74921,10
74922,8
74961,8
74984,8
74996,2
75078,2
75108,2
75137,10
75258,10
75262,10
75293,8
75326,1
75326,10
75363,10
75374,8
75377,10
75403,9
75494,9
75497,9
75546,2
75568,10
75653,8
75676,8
75713,9
75746,1
75757,2
75760,1
75772,9
75790,10
75794,10
75822,10
75882,8
75905,10
75906,9
75909,10
75925,2
75948,2
75950,1
76018,1
76021,2
76035,10
76089,9
76089,8
76102,10
76114,9
76114,8
76148,8
76191,8
76224,2
76254,1
76260,9
76263,9
76280,10
76285,1
76298,2
76304,1
76307,1
76309,2
76315,8
76331,10
76332,2
76337,10
76380,9
76395,9
76406,1
76407,2
76410,2
76411,2
76412,2
76462,9
76465,2
76494,8
76552,10
76553,8
76555,10
76586,9
76621,8
76693,10
76694,2
76725,2
76726,1
76727,2
76728,1
76731,9
76768,2
76828,2
76838,9
76844,2
77018,9
77088,10
77104,2
77136,9
77178,9
77217,2
77269,8
77270,1
77270,1
77272,1
77307,2
77349,9
77371,10
77398,1
77459,10
77480,10
77505,1
77522,9
77539,9
77558,2
77577,2
77578,1
77581,1
77595,8
77663,9
77669,1
77679,2
77685,8
77775,10
77799,8
77819,9
77849,8
77878,2
77901,2
77942,2
77973,2
77988,10
78104,10
78144,8
78147,8
78149,9
78250,9
78292,2
78334,2
78367,2
78393,10
78438,10
78486,1
78505,8
78522,2
78536,9
78578,8
78593,8
78660,9
78662,1
78670,10
78692,1
78699,1
78727,10
78742,9
78758,1
78760,2
78777,9
78794,2
78806,2
78808,10
78841,9
78880,2
78904,10
78932,2
78981,1
79021,2
79030,2
79037,9
79064,2
79079,8
79127,8
79133,10
79136,10
79137,8
79141,9
79150,8
79154,1
79189,10
79196,9
79220,8
79259,8
79283,9
79305,9
79313,9
79335,2
79345,10
79364,10
79372,10
79437,8
79439,8
79440,8
79445,8
79455,2
79458,1
79461,1
79464,1
79465,8
79468,8
79510,1
79545,8
79547,8
79577,10
79647,9
79661,1
79719,8
79762,1
79765,2
79769,10
79772,10
79772,10
79785,10
79786,9
79810,2
79833,2
79839,8
79876,9
79878,9
79919,9
79930,8
79934,2
79975,10
79978,10
79984,2
79985,1
79994,8
80005,1
80101,10
80132,8
80166,8
80170,9
80231,9
80243,9
80270,8
80304,1
80315,8
80378,8
80395,10
80399,10
80493,1
80525,2
80534,8
80552,9
80620,2
80622,1
80644,10
80665,10
80734,8
80752,2
80769,2
80771,1
80772,2
80773,1
80778,9
80806,8
80813,10
80887,2
80924,2
80956,2
80991,2
80997,1
81013,2
81015,1
81026,9
81080,9
81118,8
81180,10
81215,9
81250,9
81293,2
81299,2
81407,8
81448,2
81456,9
81491,8
81529,8
81582,9
81627,10
81636,10
81680,2
81686,2
81687,9
81716,2
81717,1
81720,1
81721,8
81730,1
81734,9
81748,1
81777,2
81849,9
81880,9
81886,1
81899,1
81902,1
81916,9
81931,9
81962,8
81965,2
81988,1
82048,2
82053,1
82074,9
82109,8
82112,10
82120,10
82135,9
82144,10
82173,8
82188,8
82218,10
82220,9
82244,10
82249,10
82252,2
82263,1
82320,2
82361,10
82368,10
82385,2
82412,1
82415,1
82579,8
82599,8
82614,8
82615,8
82621,10
82643,9
82734,1
82761,9
82815,10
82833,1
82834,2
82855,1
82856,10
82881,8
82891,2
82982,1
82984,1
82991,9
83012,10
83065,2
83082,9
83125,2
83185,9
83222,10
83233,8
83240,8
83251,2
83252,1
83284,2
83289,1
83289,10
83300,8
83309,2
83315,8
83319,2
83336,2
83342,1
83380,10
83502,9
83522,8
83533,2
83543,1
83545,8
83568,9
83585,1
83647,10
83694,2
83717,2
83789,2
83794,1
83795,2
83806,10
83822,10
83877,10
83879,10
83913,2
83935,10
83972,2
83985,9
84000,10
84032,9
84066,8
84083,9
84090,1
84092,2
84094,1
84097,8
84098,8
84102,9
84105,9
84126,9
84158,1
84162,2
84224,10
84255,1
84256,2
84322,2
84325,2
84363,2
84378,2
84385,2
84389,8
84419,10
84483,2
84484,1
84484,2
84485,2
84486,1
84525,2
84565,9
84607,2
84655,10
84661,10
84676,2
84767,2
84769,1
84777,8
84794,2
84806,9
84821,10
84824,10
84833,9
84923,2
85012,2
85055,10
85057,10
85073,10
85085,10
85087,2
85090,10
85137,9
85158,2
85187,9
85201,2
85207,8
85208,8
85223,9
85260,9
85271,8
85293,10
85305,1
85344,10
85361,10
85362,2
85372,8
85374,8
85379,10
85403,8
85404,8
85406,10
85436,1
85443,10
85489,10
85504,10
85516,2
85517,1
85557,10
85628,2
85648,10
85651,10
85684,10
85695,2
85699,10
85719,8
85728,9
85736,1
85739,1
85804,10
85813,9
85826,10
85827,2
85841,1
85899,2
85904,1
85905,2
85934,9
85994,10
86037,10
86055,10
86060,1
86073,2
86099,10
86130,9
86186,10
86193,10
86276,9
86322,9
86344,2
86360,2
86361,10
86389,9
86415,2
86433,2
86498,10
86502,2
86511,1
86514,1
86517,1
86613,2
86634,2
86640,1
86661,2
86661,2
86686,9
86700,10
86711,1
86720,9
86730,8
86738,8
86786,8
86816,10
86818,8
86840,9
86842,9
86887,1
86979,2
86982,1
86993,10
87012,2
87053,8
87131,8
87151,1
87185,9
87313,2
87337,1
87338,2
87340,2
87377,1
87377,9
87380,1
87412,2
87413,1
87416,2
87421,10
87459,8
87492,2
87506,9
87515,9
87566,10
87618,2
87648,9
87655,9
87659,10
87702,10
87706,10
87733,8
87793,2
87866,2
87895,1
87980,8
87992,1
88028,10
88072,2
88109,9
88183,1
88198,9
88200,9
88207,1
88218,2
88227,10
88239,10
88269,10
88304,8
88305,8
88331,8
88415,2
88430,9
88456,1
88458,1
88510,1
88525,9
88598,8
88629,9
88638,1
88641,8
88672,1
88689,1
88691,2
88716,10
88720,9
88744,1
88760,8
88792,2
88796,1
88819,10
88834,2
88839,1
88876,1
88880,2
88888,1
88891,1
88913,9
88918,9
88968,10
88974,10
89016,9
89021,10
89072,2
89083,2
89085,1
89111,1
89113,1
89116,2
89124,8
89131,9
89149,8
89166,1
89170,1
89254,2
89292,1
89315,9
89331,1
89339,8
89340,8
89349,9
89360,2
89367,2
89389,8
89391,10
89395,2
89436,2
89461,9
89494,1
89502,1
89505,1
89506,1
89507,2
89508,1
89509,2
89533,8
89544,9
89549,10
89551,9
89552,10
89588,9
89618,9
89619,9
89642,1
89645,1
89647,2
89656,9
89657,2
89661,1
89665,2
89666,8
89681,9
89693,10
89697,8
