time,event
5,4
5,4
15,1
30,4
45,4
50,1
55,1
70,4
70,1
85,1
95,4
105,1
110,1
125,1
140,1
160,1
165,4
180,1
185,4
185,11
195,11
195,1
250,1
275,11
275,4
285,11
295,1
305,1
310,1
340,11
360,1
365,1
370,4
410,4
410,4
415,1
435,4
460,4
470,1
475,4
500,4
520,1
535,1
570,11
570,4
590,1
590,1
595,4
620,4
645,1
645,4
650,4
675,4
685,4
700,4
720,1
735,1
750,1
765,1
775,11
820,1
835,1
855,11
865,11
890,1
945,1
960,1
970,11
975,1
990,11
1030,1
1045,11
1045,4
1065,1
1085,1
1090,4
1100,11
1115,4
1120,1
1140,4
1160,1
1175,1
1180,4
1215,1
1220,4
1240,1
1245,4
1270,1
1285,4
1305,1
1320,1
1325,1
1330,4
1335,1
1370,4
1390,1
1390,1
1405,1
1445,1
1460,1
1500,1
1515,1
1555,1
1570,1
1585,1
1590,11
1610,1
1615,11
1640,1
1645,11
1665,1
1670,11
1695,1
1710,1
1715,4
1720,1
1725,4
1740,4
1745,4
1760,1
1765,1
1770,4
1790,4
1810,4
1815,1
1815,11
1820,4
1860,4
1880,11
1880,1
1890,11
1900,11
1910,11
1935,1
1940,4
1980,4
1985,4
2005,1
2010,4
2015,11
2020,4
2040,1
2055,1
2070,11
2110,1
2120,4
2125,11
2135,11
2140,1
2155,1
2165,1
2170,1
2170,4
2190,1
2225,1
2245,1
2260,11
2270,11
2280,1
2285,4
2300,1
2310,4
2330,1
2330,11
2355,1
2385,1
2410,1
2440,1
2465,1
2475,4
2495,1
2500,4
2520,1
2550,1
2575,1
2580,4
2605,1
2660,1
2660,11
2670,11
2715,11
2715,1
2730,1
2785,11
2785,1
2840,1
2840,11
2845,4
2870,4
2910,11
2980,4
3005,4
3030,4
3120,11
3130,11
3185,11
3205,4
3240,11
3295,11
3525,4
3565,4
3580,4
3600,1
3655,1
3655,11
3670,1
3725,1
3780,1
3835,1
3890,1
3945,1
3960,1
4015,1
4070,1
4075,4
4100,4
4125,4
4145,1
4160,1
4170,11
4215,1
4225,11
4270,1
4280,11
4325,1
4330,4
4350,1
4355,4
4380,4
4400,1
4405,11
4455,1
4460,4
4480,4
4480,1
4535,1
4590,4
4590,1
4595,4
4610,1
4635,4
4665,1
4680,1
4695,1
4725,11
4750,1
4805,1
4860,1
4870,11
4915,1
4970,1
4975,4
4995,1
5010,1
5065,1
5120,1
5175,1
5230,1
5285,1
5340,1
5345,4
5365,1
5380,1
5385,11
5435,1
5490,1
5545,1
5600,1
5605,4
5630,4
5650,1
5705,1
5710,4
5745,11
5750,4
5770,1
5820,4
5825,1
5840,1
5840,1
5845,4
5845,4
5865,1
5920,1
5950,11
5975,1
6030,1
6075,11
6075,11
6085,1
6085,11
6130,11
6140,1
6195,1
6200,4
6205,4
6225,1
6240,1
6255,1
6290,11
6310,1
6315,4
6335,1
6345,11
6355,11
6390,1
6405,11
6430,4
6445,1
6450,1
6500,1
6505,1
6530,11
6555,1
6560,1
6585,11
6600,11
6610,11
6610,1
6615,1
6665,1
6670,4
6670,1
6675,4
6690,1
6730,4
6745,1
6755,4
6775,1
6800,1
6830,1
6835,11
6845,11
6855,1
6860,4
6885,1
6900,4
6900,11
6925,4
6940,1
6950,4
6955,1
6960,4
6970,1
6985,4
7010,4
7025,1
7030,1
7080,1
7085,1
7135,1
7140,1
7150,1
7155,1
7205,1
7210,1
7220,1
7225,4
7250,4
7265,1
7270,1
7320,1
7325,1
7375,1
7380,1
7415,11
7425,11
7430,1
7435,11
7435,1
7485,1
7490,4
7490,1
7510,4
7530,1
7545,1
7560,1
7580,11
7585,1
7615,1
7630,11
7630,1
7640,1
7685,1
7695,1
7700,4
7720,1
7725,4
7725,4
7740,1
7745,1
7750,4
7755,1
7760,4
7785,4
7790,4
7800,1
7810,1
7810,4
7815,1
7820,4
7830,1
7835,4
7840,1
7860,4
7865,1
7895,1
7920,1
7935,1
7950,1
7950,1
7965,1
7970,4
7980,1
7990,1
7995,1
8005,1
8045,1
8050,4
8050,1
8060,1
8075,4
8105,1
8115,1
8145,11
8155,11
8160,1
8170,1
8185,4
8210,11
8215,1
8220,11
8225,1
8270,1
8275,11
8275,11
8280,1
8325,1
8330,11
8335,1
8340,11
8350,11
8380,1
8385,4
8390,1
8405,1
8425,4
8445,1
8450,4
8450,4
8460,1
8465,4
8475,4
8475,4
8490,4
8495,1
8515,4
8530,4
8535,1
8550,1
8555,4
8565,1
8580,4
8590,1
8620,4
8620,1
8640,1
8645,1
8675,1
8690,1
8695,1
8700,1
8700,4
8745,1
8755,1
8760,1
8810,1
8815,1
8825,1
8830,4
8830,1
8835,4
8850,1
8855,1
8860,11
8865,1
8870,11
8870,4
8880,11
8890,1
8905,1
8910,4
8910,1
8935,4
8965,1
8980,1
9025,4
9035,1
9045,4
9065,4
9085,1
9090,1
9105,1
9120,1
9140,1
9155,4
9175,1
9175,1
9195,1
9200,4
9225,4
9230,1
9230,1
9235,4
9245,1
